Work ID,State,District,Constituency,Hon'ble MP,Tenure,Category,Work Title,Location,Recommended Amount (₹),Sanctioned Amount (₹),Released Amount (₹),Expenditure (₹),Recommendation Date,Sanction Date,Start Date,Completion Date,Status,Implementing Agency,Contractor Name,Latitude,Longitude,Data Source Portal
MOSPI-2024-TA-0011,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,18th Lok Sabha,Drinking Water,Installation of Deep Borewell with Solar RO Purification Plant at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",2180000,2080000,1500000,1350000,2024-08-22,2024-11-04,2024-11-24,,Ongoing,TWAD Board Madurai,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0012,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Education,Modernization of School Library and Computer Learning Centre at Dibrugarh,"Dibrugarh Sub-Division, Assam",700000,640000,0.0,0.0,2024-10-09,,,,Recommended,Guwahati Municipal Corporation,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0013,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Dibrugarh,"Dibrugarh Sub-Division, Assam",1080000,1000000,910000,160000,2023-08-20,2023-09-24,,,Sanctioned,Guwahati Municipal Corporation,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0014,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,17th Lok Sabha,Sanitation,Construction of Modern Community Sanitary Complex with Running Water Facility at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",1160000,1120000,890000,500000,2023-09-29,2023-11-24,2024-01-06,,Ongoing,Indore Development Authority,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0015,Maharashtra,Nagpur,Nagpur,Nitin Gadkari,17th Lok Sabha,Drinking Water,Special Comprehensive High-Capacity Regional Drinking Water Transmission Pipeline at Nagpur,"Nagpur Sub-Division, Maharashtra",10500000.0,9800000.0,9800000.0,9750000.0,2023-10-04,,,,Recommended,PWD Division Nagpur,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0016,Uttar Pradesh,Kanpur Nagar,Kanpur,Satyadev Pachauri,17th Lok Sabha,Road & Connectivity,Construction of Cement Concrete Link Road with Covered Storm-water Drainage at Kanpur Nagar,"Kanpur Nagar Sub-Division, Uttar Pradesh",6100000,5850000,0.0,0.0,2023-11-06,,,,Recommended,Prayagraj Zila Panchayat,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0017,Maharashtra,Nashik,Nashik,Hemant Godse,17th Lok Sabha,Sports Facility,Development of Public Sports Ground with Running Track and Floodlighting at Nashik,"Nashik Sub-Division, Maharashtra",860000,850000,630000,850000,2023-07-18,2023-10-05,2023-11-04,2024-06-22,Completed,Zilla Parishad Pune (Works Dept),Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0018,Karnataka,Belagavi,Belgaum,Mangala Angadi,17th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Belagavi,"Belagavi Sub-Division, Karnataka",3530000,3110000,2190000,2880000,2023-11-27,2023-12-14,2024-01-12,2024-06-12,Completed,Bruhat Bengaluru Mahanagara Palike (BBMP),Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-WE-0019,West Bengal,North 24 Parganas,Barasat,Kakoli Ghosh Dastidar,17th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at North 24 Parganas,"North 24 Parganas Sub-Division, West Bengal",2730000,2510000,0.0,0.0,2023-08-01,,,,Recommended,Kolkata Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0020,Madhya Pradesh,Indore,Indore,Shankar Lalwani,17th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Indore,"Indore Sub-Division, Madhya Pradesh",3280000,3150000,0.0,0.0,2023-08-04,,,,Recommended,Indore Development Authority,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-WE-0021,West Bengal,Howrah,Howrah,Prasun Banerjee,18th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Howrah,"Howrah Sub-Division, West Bengal",3030000,2980000,1940000,1410000,2025-01-31,2025-03-25,2025-04-05,,Ongoing,Kolkata Municipal Corporation,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0022,Rajasthan,Udaipur,Udaipur,Arjun Lal Meena,18th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Udaipur,"Udaipur Sub-Division, Rajasthan",4480000,4080000,0.0,0.0,2024-10-20,,,,Recommended,Public Health Engineering Dept (PHED) Jodhpur,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0023,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,17th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",1370000,1310000,1280000,20000,2023-10-01,2023-12-25,,,Sanctioned,Salem Rural Development Agency,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0024,West Bengal,Darjeeling,Darjeeling,Raju Bista,18th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Darjeeling,"Darjeeling Sub-Division, West Bengal",2250000,1960000,1710000,2020000,2024-05-13,2024-07-13,2024-08-06,2025-03-25,Completed,Kolkata Municipal Corporation,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0025,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Sanitation,Construction of Modern Community Sanitary Complex with Running Water Facility at Dibrugarh,"Dibrugarh Sub-Division, Assam",770000,730000,580000,750000,2024-09-17,2024-11-23,2024-12-05,2025-06-01,Completed,PWD (Roads) Jorhat,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-MA-0026,Maharashtra,Pune,Pune,Murlidhar Mohol,18th Lok Sabha,Road & Connectivity,Construction of Box Culvert Bridge over Drainage Channel connecting Rural Hamlets at Pune,"Pune Sub-Division, Maharashtra",6300000,5510000,4140000,670000,2025-02-06,2025-03-13,,,Sanctioned,Maharashtra Jeevan Pradhikaran,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0027,Maharashtra,Nagpur,Nagpur,Nitin Gadkari,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Nagpur,"Nagpur Sub-Division, Maharashtra",2330000,2100000,1820000,1970000,2024-01-25,2024-03-17,2024-04-30,2024-12-22,Completed,Thane Zilla Parishad,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0028,Tamil Nadu,Salem,Salem,S. R. Parthiban,18th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at Salem,"Salem Sub-Division, Tamil Nadu",3610000,3180000,3150000,110000,2024-09-10,2024-09-28,,,Sanctioned,Coimbatore City Municipal Corporation,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0029,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,18th Lok Sabha,Community Infrastructure,Development of Rural Haat and Market Shed with Raised Concrete Platform at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",1750000,1710000,1440000,1600000,2024-02-29,2024-05-16,2024-06-01,2024-10-06,Completed,DRDA Chennai,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0030,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,17th Lok Sabha,Road & Connectivity,Construction of Box Culvert Bridge over Drainage Channel connecting Rural Hamlets at Jorhat,"Jorhat Sub-Division, Assam",6710000,6280000,5240000,5830000,2023-06-29,2023-09-15,2023-10-14,2024-05-26,Completed,Guwahati Municipal Corporation,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0031,West Bengal,Darjeeling,Darjeeling,Raju Bista,18th Lok Sabha,Sports Facility,Installation of Open Air Gymnasium Equipment in Municipal Public Park at Darjeeling,"Darjeeling Sub-Division, West Bengal",1210000,1080000,0.0,0.0,2024-03-22,,,,Recommended,PWD North 24 Parganas,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0032,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",1770000,1690000,1090000,940000,2024-06-29,2024-08-16,2024-09-04,,Ongoing,Bhopal Municipal Corporation,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-MA-0033,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Nashik,"Nashik Sub-Division, Maharashtra",1750000,1620000,1190000,700000,2025-02-24,2025-05-13,2025-06-26,,Ongoing,Nashik Municipal Corporation,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0034,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Gwalior","Gwalior Sub-Division, Madhya Pradesh",2300000,2220000,0.0,0.0,2024-12-17,,,,Recommended,Bhopal Municipal Corporation,Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0035,West Bengal,Kolkata,Kolkata South,Mala Roy,18th Lok Sabha,Road & Connectivity,Construction of Cement Concrete Link Road with Covered Storm-water Drainage at Kolkata,"Kolkata Sub-Division, West Bengal",6980000,6120000,4470000,6210000,2024-09-09,2024-10-29,2024-12-01,2025-04-10,Completed,Kolkata Municipal Corporation,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0036,Uttar Pradesh,Kanpur Nagar,Kanpur,Satyadev Pachauri,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Kanpur Nagar,"Kanpur Nagar Sub-Division, Uttar Pradesh",2140000,2090000,1510000,130000,2024-09-16,2024-12-15,,,Sanctioned,PWD Provincial Division Varanasi,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0037,Tamil Nadu,Madurai,Madurai,Su. Venkatesan,18th Lok Sabha,Road & Connectivity,Paver Block Pavement and Footpath Construction in Residential Settlement at Madurai,"Madurai Sub-Division, Tamil Nadu",6420000,6110000,4520000,430000,2024-08-13,2024-10-08,,,Sanctioned,Salem Rural Development Agency,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0038,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",1420000,1280000,870000,590000,2024-05-14,2024-07-06,2024-07-29,,Ongoing,Guwahati Municipal Corporation,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0039,Karnataka,Dakshina Kannada,Dakshina Kannada,Nalin Kumar Kateel,17th Lok Sabha,Education,Supply of Dual Desks and Laboratory Equipment to Rural High Schools at Dakshina Kannada,"Dakshina Kannada Sub-Division, Karnataka",2700000,2460000,1830000,2560000,2023-09-26,2023-11-12,2023-12-25,2024-12-15,Completed,DRDA Dharwad,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0040,Maharashtra,Kolhapur,Kolhapur,Sanjay Mandlik,18th Lok Sabha,Drinking Water,Provision of Community Water ATMs at Public Transit Hubs at Kolhapur,"Kolhapur Sub-Division, Maharashtra",1380000,1300000,1220000,1280000,2024-01-03,2024-03-20,2024-04-07,2024-12-19,Completed,PWD Division Nagpur,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0041,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,17th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Jodhpur,"Jodhpur Sub-Division, Rajasthan",2130000,1900000,1640000,1930000,2023-05-06,2023-06-25,2023-07-24,2024-01-21,Completed,Ajmer Zila Parishad,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0042,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,18th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",2730000,2500000.0,2180000,3150000.0,2024-02-02,2024-03-16,,,Completed,Guwahati Municipal Corporation,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0043,Madhya Pradesh,Bhopal,Bhopal,Sadhvi Pragya Singh Thakur,17th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Bhopal,"Bhopal Sub-Division, Madhya Pradesh",3730000,3700000,0.0,0.0,2023-12-20,,,,Recommended,Indore Development Authority,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0044,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Road & Connectivity,Bituminous Surface Renewal of Village Approach Road to National Highway at Gwalior,"Gwalior Sub-Division, Madhya Pradesh",3510000,3190000,2550000,1240000,2024-06-06,2024-08-14,2024-09-22,,Ongoing,Indore Development Authority,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-RA-0045,Rajasthan,Kota,Kota,Om Birla,18th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Kota,"Kota Sub-Division, Rajasthan",2810000,2720000,1840000,2620000,2025-02-24,2025-03-31,2025-04-17,2025-10-12,Completed,DRDA Udaipur,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0046,Tamil Nadu,Salem,Salem,S. R. Parthiban,18th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Salem,"Salem Sub-Division, Tamil Nadu",2070000,1950000,1540000,1370000,2024-03-28,2024-06-13,2024-07-01,,Ongoing,PWD Buildings Division Chennai,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0047,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Jorhat","Jorhat Sub-Division, Assam",3190000,2790000,1760000,1040000,2024-09-20,2024-12-11,2024-12-27,,Ongoing,DRDA Dibrugarh,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0048,Maharashtra,Kolhapur,Kolhapur,Sanjay Mandlik,17th Lok Sabha,Education,Modernization of School Library and Computer Learning Centre at Kolhapur,"Kolhapur Sub-Division, Maharashtra",4140000,3700000,3640000,350000,2023-04-23,2023-05-27,,,Sanctioned,Thane Zilla Parishad,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0049,Tamil Nadu,Chennai,Chennai South,Thamizhachi Thangapandian,17th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Chennai,"Chennai Sub-Division, Tamil Nadu",2740000,2640000,0.0,0.0,2023-06-12,,,,Recommended,Coimbatore City Municipal Corporation,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0050,Uttar Pradesh,Kanpur Nagar,Kanpur,Satyadev Pachauri,18th Lok Sabha,Road & Connectivity,Construction of Box Culvert Bridge over Drainage Channel connecting Rural Hamlets at Kanpur Nagar,"Kanpur Nagar Sub-Division, Uttar Pradesh",6980000,6520000,4540000,6400000,2024-02-15,2024-04-23,2024-05-05,2025-04-10,Completed,DRDA Gorakhpur,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0051,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,17th Lok Sabha,Solar & Renewable Energy,Installation of Integrated Solar Street Lighting Network in Un-electrified Hamlets at Dibrugarh,"Dibrugarh Sub-Division, Assam",1910000,1850000,1650000,150000,2023-08-22,2023-10-13,,,Sanctioned,PWD (Roads) Jorhat,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-TA-0052,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,18th Lok Sabha,Healthcare,Construction of New Primary Health Sub-Centre Building with Staff Quarters at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",4690000,4180000,3490000,120000,2024-05-20,2024-06-18,,,Sanctioned,Salem Rural Development Agency,Sri Krishna Infra Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-RA-0053,Rajasthan,Jodhpur,Jodhpur,Gajendra Singh Shekhawat,17th Lok Sabha,Sanitation,Construction of Modern Community Sanitary Complex with Running Water Facility at Jodhpur,"Jodhpur Sub-Division, Rajasthan",1710000,1500000,950000,1550000,2023-05-08,2023-06-19,2023-08-03,2023-12-30,Completed,PWD Road Division Jaipur,Himalayan Engineering Associates,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-TA-0054,Tamil Nadu,Coimbatore,Coimbatore,P. R. Natarajan,17th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Coimbatore,"Coimbatore Sub-Division, Tamil Nadu",2850000,2490000,1540000,2340000,2023-06-07,2023-07-27,2023-08-19,2023-11-20,Completed,Coimbatore City Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0055,Maharashtra,Kolhapur,Kolhapur,Sanjay Mandlik,17th Lok Sabha,Road & Connectivity,Paver Block Pavement and Footpath Construction in Residential Settlement at Kolhapur,"Kolhapur Sub-Division, Maharashtra",7830000,7240000,5010000,3280000,2023-12-05,2023-12-24,2024-01-03,,Ongoing,PWD Division Nagpur,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2025-UT-0056,Uttar Pradesh,Varanasi,Varanasi,Narendra Modi,18th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Varanasi,"Varanasi Sub-Division, Uttar Pradesh",4080000,3880000,0.0,0.0,2025-01-31,,,,Recommended,PWD Provincial Division Varanasi,,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-UT-0057,Uttar Pradesh,Prayagraj,Allahabad,Rita Bahuguna Joshi,17th Lok Sabha,Road & Connectivity,Paver Block Pavement and Footpath Construction in Residential Settlement at Prayagraj,"Prayagraj Sub-Division, Uttar Pradesh",7760000,7590000,6980000,7430000,2023-07-28,2023-08-29,2023-09-08,2024-06-18,Completed,Prayagraj Zila Panchayat,Vanguard Projects India,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-WE-0058,West Bengal,Darjeeling,Darjeeling,Raju Bista,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Darjeeling","Darjeeling Sub-Division, West Bengal",1360000,1290000,900000,650000,2024-11-11,2025-02-06,2025-02-27,,Ongoing,Kolkata Municipal Corporation,Pragati Buildcon Services,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-UT-0059,Uttar Pradesh,Gorakhpur,Gorakhpur,Ravi Kishan,18th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Gorakhpur,"Gorakhpur Sub-Division, Uttar Pradesh",3520000,3160000,2100000,390000,2024-08-02,2024-08-31,,,Sanctioned,Prayagraj Zila Panchayat,Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-MA-0060,Madhya Pradesh,Indore,Indore,Shankar Lalwani,17th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Indore,"Indore Sub-Division, Madhya Pradesh",3040000,2880000,2450000,1770000,2023-07-08,2023-08-21,2023-09-20,,Ongoing,Bhopal Municipal Corporation,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0061,Assam,Jorhat,Jorhat,Topon Kumar Gogoi,17th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Jorhat,"Jorhat Sub-Division, Assam",1470000,1340000,1060000,900000,2023-07-14,2023-10-07,2023-10-18,,Ongoing,DRDA Dibrugarh,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
